,UNITID,COSTT4_A,GRAD_DEBT_MDN10YR,NPT4_PUB,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P8
3762,364025,14727,74.2116498579314,9824,45800,35500,41200
3787,366252,31560,254.026477463699,25028,46100,38600,43800
3793,366395,11377,87.4637301897049,5722,42400,32200,37300
3796,366465,13345,100.715810521478,4312,28300,23900,25600
3803,366711,23821,183.938875005015,14048,51100,40500,46800
3812,367459,11193,100.77942050707,7073,37100,30800,34900
3828,368911,14160,60.959569526158,6406,23700,22800,23400
3901,377555,21519,154.943323239095,9280,69600,50300,61000
3902,377564,21190,154.943323239095,8541,69600,50300,61000
3917,380368,16359,150.342200947903,11581,35300,28500,32200
3934,382911,15630,100.715810521478,6564,35700,30700,35600
3939,383190,15173,111.317474786897,9282,30300,25600,28200
3948,383996,11506,174.927460379409,5362,34800,29200,32600
3953,384333,14993,79.5124819906408,9708,37700,30700,33800
3954,384342,14651,82.9686245411674,11025,31000,27300,29600
3996,404426,16964,108.667058720542,11262,32200,30500,32000
4005,405872,8756,124.56955511867,3330,35600,30900,37400
4051,409698,15203,135.171219384089,5553,47000,35100,41900
4078,414911,12481,116.618306919606,8035,31600,27800,28500
4109,417886,31211,89.3932330860111,17043,32000,30900,32800
4110,417910,40574,100.715810521478,36247,54300,50500,53400
4124,418223,21013,100.715810521478,14321,40800,34200,36700
4177,420398,10911,99.6556440949365,4453,38700,31900,36400
4178,420431,12610,69.0592410249379,3407,24600,20500,22800
4179,420440,16219,93.9413470558758,10629,30800,26300,31100
4219,428392,15199,185.31709135952,8124,30300,23900,26500
4268,433660,17425,186.822527685209,9713,45800,36500,44000
4284,434672,12930,122.215985651747,7673,38700,30800,35400
4294,436304,13532,127.219971185025,7304,34800,32600,37200
4303,436818,19056,227.935781706503,7599,66000,49800,57300
4304,436827,20336,227.935781706503,10174,66000,49800,57300
4305,436836,22106,227.935781706503,10225,66000,49800,57300
4307,437103,15288,131.990720104463,9640,35900,28700,31600
4335,439190,15245,67.5113980421868,8251,49800,37400,41700
4376,440828,26591,224.977917376452,16163,56700,42700,49000
4409,441760,13698,138.627361934616,7086,45900,40100,45100
4415,441937,24033,159.024963981281,13560,51900,38100,44600
4895,456959,26023,206.732453175666,14827,61200,46000,54400
5149,463056,20297,227.935781706503,9370,66000,49800,57300
5354,482149,22681,217.334117441085,15044,70600,52300,66800
5355,482158,15986,201.431621042956,10295,35000,29400,31400
5381,482680,17196,188.179540711183,10623,46200,37300,43900
5382,482699,14704,121.919139052316,8385,34000,26600,31100
5391,483045,9092,101.860790262143,3166,25200,23100,25800
5459,484473,17461,159.024963981281,4517,65700,47700,57800
5477,485111,14710,90.782051104781,11372,35900,27800,32100
5556,486840,24858,252.669464437725,18212,47900,38200,43400
5577,487320,18182,100.715810521478,10364,39300,33800,36100
5687,489779,13530,276.47020071359,-4247,40100,29100,34600
5747,490805,15347,225.062730690575,9477,43000,35700,37100
5770,491288,21310,243.838278104632,12901,48200,38500,43000
5978,495767,34174,265.041606635469,27521,57200,43600,51200
