,UNITID,CIPCODE,CREDLEV,DEBT_ALL_STGP_ANY_MEAN,EARN_MDN_HI_1YR,EARN_MDN_HI_2YR,EARN_NE_MDN_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_NE_3YR,employment_rate,rate_over85
660,100812.0,1312,3,25787.0,33168.0,33096.0,35537.0,142.0,165.0,0.8606060606060606,1
664,100812.0,2301,3,27776.0,31785.0,34259.0,33290.0,17.0,25.0,0.68,0
665,100812.0,2401,3,32141.0,32066.0,28236.0,27727.0,21.0,38.0,0.5526315789473685,0
683,100812.0,5007,3,24488.0,21189.0,22385.0,23524.0,17.0,26.0,0.6538461538461539,0
687,100812.0,5202,3,30868.0,45102.0,41406.0,49154.0,163.0,191.0,0.8534031413612565,1
690,100812.0,5203,3,30581.0,39224.0,41087.0,46692.0,84.0,97.0,0.865979381443299,1
692,100812.0,5210,3,32276.0,40295.0,37208.0,38871.0,35.0,41.0,0.8536585365853658,1
695,100812.0,5299,3,29548.0,47403.0,41193.0,56951.0,24.0,32.0,0.75,0
698,100830.0,901,3,27440.0,20321.0,23456.0,27735.0,20.0,37.0,0.5405405405405406,0
714,100830.0,1312,3,31456.0,36753.0,37208.0,37725.0,30.0,38.0,0.7894736842105263,0
724,100830.0,2601,3,33981.0,25628.0,29685.0,34357.0,18.0,25.0,0.72,0
727,100830.0,3105,3,28476.0,30492.0,35416.0,36778.0,16.0,20.0,0.8,0
732,100830.0,4201,3,28338.0,19003.0,25194.0,32049.0,17.0,25.0,0.68,0
734,100830.0,4301,3,26453.0,24957.0,43426.0,42565.0,22.0,27.0,0.8148148148148148,0
757,100830.0,5138,3,26938.0,54141.0,53269.0,57382.0,112.0,123.0,0.9105691056910569,1
762,100830.0,5202,3,34508.0,40978.0,36134.0,41036.0,23.0,25.0,0.92,1
775,100858.0,101,3,20415.0,47415.0,41937.0,54357.0,24.0,26.0,0.9230769230769231,1
784,100858.0,111,3,22393.0,37144.0,40896.0,43338.0,31.0,35.0,0.8857142857142857,1
810,100858.0,904,3,19182.0,30959.0,39585.0,45572.0,32.0,39.0,0.8205128205128205,0
813,100858.0,1101,3,24380.0,62372.0,53358.0,64421.0,20.0,22.0,0.9090909090909091,1
824,100858.0,1310,3,22040.0,35666.0,34526.0,36974.0,19.0,27.0,0.7037037037037037,0
832,100858.0,1312,3,21706.0,36812.0,37173.0,39179.0,53.0,65.0,0.8153846153846154,0
843,100858.0,1402,3,20052.0,63127.0,61380.0,73377.0,35.0,39.0,0.8974358974358975,1
846,100858.0,1404,3,21696.0,71073.0,66240.0,74291.0,61.0,64.0,0.953125,1
859,100858.0,1410,3,24310.0,72274.0,65753.0,75817.0,59.0,64.0,0.921875,1
865,100858.0,1419,3,22708.0,67127.0,68778.0,77684.0,122.0,129.0,0.9457364341085271,1
871,100858.0,1435,3,21860.0,66558.0,65170.0,75401.0,64.0,68.0,0.9411764705882353,1
888,100858.0,1909,3,22870.0,38625.0,33993.0,45858.0,29.0,38.0,0.7631578947368421,0
898,100858.0,2601,3,22049.0,23818.0,27048.0,48965.0,50.0,93.0,0.5376344086021505,0
930,100858.0,4201,3,19044.0,22796.0,28327.0,36672.0,57.0,86.0,0.6627906976744186,0
935,100858.0,4404,3,24948.0,35723.0,35600.0,49582.0,30.0,40.0,0.75,0
971,100858.0,5138,3,20207.0,56128.0,57082.0,58043.0,73.0,80.0,0.9125,1
975,100858.0,5202,3,22047.0,52995.0,48432.0,57249.0,231.0,255.0,0.9058823529411765,1
979,100858.0,5203,3,22785.0,54118.0,53358.0,60042.0,65.0,91.0,0.7142857142857143,0
985,100858.0,5208,3,19698.0,46598.0,43732.0,60801.0,110.0,125.0,0.88,1
1053,101028.0,5138,2,21766.0,60027.0,57860.0,61184.0,30.0,33.0,0.9090909090909091,1
1061,101116.0,1104,3,47362.0,39831.0,44418.0,46834.0,113.0,163.0,0.6932515337423313,0
1064,101116.0,2203,2,34162.0,22985.0,31133.0,32049.0,40.0,54.0,0.7407407407407407,0
1065,101116.0,2203,3,41831.0,33600.0,30409.0,28615.0,51.0,79.0,0.6455696202531646,0
1067,101116.0,4201,3,47750.0,26893.0,26836.0,31098.0,83.0,153.0,0.5424836601307189,0
1068,101116.0,4301,3,48177.0,33655.0,34420.0,36209.0,126.0,190.0,0.6631578947368421,0
1071,101116.0,5100,3,53011.0,31369.0,30520.0,34555.0,136.0,198.0,0.6868686868686869,0
1072,101116.0,5107,3,48192.0,33436.0,33616.0,32775.0,163.0,270.0,0.6037037037037037,0
1074,101116.0,5108,2,31668.0,39095.0,43489.0,45357.0,467.0,553.0,0.8444846292947559,0
1076,101116.0,5138,3,39647.0,65499.0,66883.0,71557.0,1346.0,1576.0,0.8540609137055838,1
1078,101116.0,5202,3,47764.0,37748.0,39986.0,42014.0,275.0,395.0,0.6962025316455697,0
1119,101161.0,2401,2,13622.0,23424.0,19545.0,27125.0,85.0,192.0,0.4427083333333333,0
1137,101161.0,5138,2,21775.0,51488.0,52334.0,54395.0,114.0,136.0,0.8382352941176471,0
1183,101189.0,4301,3,30222.0,36040.0,34704.0,38386.0,31.0,34.0,0.9117647058823529,1
1195,101189.0,5202,3,35906.0,39646.0,40821.0,46450.0,39.0,51.0,0.7647058823529411,0
1224,101240.0,2401,2,9580.0,16653.0,20596.0,28355.0,40.0,108.0,0.37037037037037035,0
1236,101240.0,5109,2,11236.0,36679.0,38649.0,36531.0,21.0,25.0,0.84,0
1240,101240.0,5138,2,14256.0,53763.0,51844.0,52705.0,110.0,119.0,0.9243697478991597,1
1245,101240.0,5204,2,15174.0,22491.0,19891.0,22263.0,29.0,43.0,0.6744186046511628,0
1260,101286.0,2401,2,7904.0,21882.0,16730.0,27103.0,28.0,63.0,0.4444444444444444,0
1273,101286.0,5108,2,17032.0,28113.0,36221.0,38385.0,43.0,52.0,0.8269230769230769,0
1275,101286.0,5109,2,10893.0,38491.0,32467.0,30549.0,46.0,64.0,0.71875,0
1276,101286.0,5138,2,14005.0,53109.0,47762.0,52510.0,68.0,83.0,0.8192771084337349,0
1277,101286.0,5139,1,17090.0,32465.0,28381.0,34798.0,27.0,45.0,0.6,0
1297,101295.0,2401,2,14170.0,24738.0,24267.0,24597.0,37.0,88.0,0.42045454545454547,0
