,UNITID,STABBR,HIGHDEG,CONTROL,ADM_RATE_ALL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,COMPL_RPY_3YR_RT
3429,235316,WA,4,2,0.76154975714447,61828.0,48470.0,48470.0,76325.0,0.8918918919
3443,236133,WA,4,2,0.95983086680761,45863.0,33980.0,33980.0,52311.0,0.8037735849
3446,236230,WA,4,2,0.88385093167701,57587.0,48226.0,48226.0,60932.0,0.8277841561
3448,236328,WA,4,2,0.88298507462686,60204.0,55670.0,55670.0,64570.0,0.8482428115
3450,236452,WA,4,2,0.71617037316245,54082.0,40690.0,40690.0,60191.0,0.76171875
3453,236577,WA,4,2,0.91947694425326,63197.0,35646.0,35646.0,61006.0,0.8683274021
3454,236595,WA,4,2,0.82117343951282,64819.0,49335.0,49335.0,73484.0,0.8372268274
3464,236939,WA,4,1,0.85766884651316,20182.0,12417.0,27733.0,65331.0,0.8223472669
3465,236948,WA,4,1,0.57020325789246,25020.0,12076.0,39906.0,74063.0,0.8370859213
3467,237011,WA,4,1,0.9609640831758,18120.0,8703.0,25930.0,59142.0,0.7942427216
3469,237057,WA,3,2,0.58952473326867,66408.0,55982.0,55982.0,64442.0,0.9470198675
3470,237066,WA,4,2,0.91455375253549,61562.0,47590.0,47590.0,57211.0,0.7862165963
3472,237118,WV,4,2,0.66532258064516,42915.0,30020.0,30020.0,49097.0,0.7651006711
3477,237181,WV,4,2,0.73552735923869,45760.0,31600.0,31600.0,45183.0,0.7471264368
3478,237215,WV,3,1,0.96859666339548,17506.0,8784.0,15982.0,38646.0,0.5668202765
3481,237312,WV,4,2,0.69707661290322,44740.0,31350.0,31350.0,46166.0,0.6928104575
3483,237330,WV,4,1,0.95629672225416,18157.0,8690.0,18440.0,40246.0,0.6174242424
3484,237358,WV,3,2,0.77613776137761,43068.0,29960.0,29960.0,38710.0,0.7191011236
3485,237367,WV,4,1,0.98754951895868,17689.0,7892.0,17150.0,38538.0,0.5892648775
3490,237525,WV,4,1,0.9780435558729,19715.0,8552.0,19606.0,43564.0,0.5419426049
3496,237701,WV,3,1,0.88645972407654,14778.0,4608.0,11760.0,55073.0,0.7177013423
3499,237792,WV,4,1,0.96412556053811,17804.0,7784.0,18224.0,47268.0,0.6582125604
3503,237899,WV,4,1,0.96552889489692,19488.0,8437.0,14125.0,38235.0,0.4724576271
3505,237932,WV,4,1,0.7384806973848,22786.0,8345.0,16294.0,41989.0,0.6159600998
3506,237950,WV,3,1,0.88645972407654,18708.0,7728.0,19296.0,55073.0,0.7177013423
3507,237969,WV,4,2,0.84428086070215,46028.0,32612.0,32612.0,48086.0,0.783625731
3512,238032,WV,4,1,0.88645972407654,22953.0,8976.0,25320.0,55073.0,0.7177013423
3513,238078,WV,4,2,0.78073610023492,41796.0,29290.0,29290.0,57251.0,0.7071823204
3516,238193,WI,4,2,0.9084084084084,41238.0,31258.0,31258.0,48547.0,0.6795952782
3519,238333,WI,3,2,0.67276608722171,64529.0,54680.0,54680.0,53720.0,0.8618618619
3521,238430,WI,4,2,0.88907849829351,44055.0,34762.0,34762.0,56811.0,0.6282853567
3522,238458,WI,4,2,0.70497656773041,46321.0,35140.0,35140.0,52782.0,0.8272383354
3523,238476,WI,4,2,0.75691630975807,45228.0,33000.0,33000.0,56427.0,0.8083067093
3524,238616,WI,4,2,0.66816494039476,47623.0,31952.0,31952.0,51567.0,0.7299168975
3525,238661,WI,4,2,0.95492487479131,46361.0,32600.0,32600.0,55742.0,0.8128654971
3529,238980,WI,4,2,0.80108991825613,43950.0,31316.0,31316.0,52878.0,0.7183770883
3531,239017,WI,3,2,0.74957000343997,64260.0,52401.0,52401.0,50848.0,0.8240740741
3532,239071,WI,4,2,0.8030303030303,29353.0,18050.0,18050.0,45876.0,0.880733945
3533,239080,WI,4,2,0.76271186440677,38811.0,29130.0,29130.0,53441.0,0.758812616
3534,239105,WI,4,2,0.86256914566687,61292.0,45766.0,45766.0,76417.0,0.8521052632
3538,239309,WI,3,2,0.68274383708467,50226.0,39560.0,39560.0,40406.0,0.6699507389
3539,239318,WI,4,2,0.66718266253869,55803.0,45099.0,45099.0,84860.0,0.9475308642
3541,239390,WI,4,2,0.62363788767812,43441.0,32760.0,32760.0,47959.0,0.6430976431
3546,239512,WI,3,2,0.57660167130919,51734.0,39894.0,39894.0,42687.0,0.7714285714
3547,239628,WI,3,2,0.79766693483507,58042.0,48100.0,48100.0,51436.0,0.8362369338
3552,240107,WI,4,2,0.77457098283931,41474.0,29920.0,29920.0,52502.0,0.7970049917
3556,240189,WI,4,1,0.82967525195968,18358.0,7730.0,16602.0,52316.0,0.802483508
3559,240268,WI,4,1,0.77462845010615,20603.0,8874.0,17149.0,55619.0,0.839093702
3560,240277,WI,4,1,0.91432737878235,17334.0,7873.0,16091.0,49099.0,0.7596401028
3561,240329,WI,4,1,0.73850290080656,17776.0,9195.0,18014.0,57125.0,0.8575485092
3562,240338,WI,4,2,0.98019075568598,44582.0,32766.0,32766.0,51291.0,0.8340425532
3563,240365,WI,4,1,0.89887376818395,18338.0,7733.0,15306.0,51418.0,0.8326078354
3564,240374,WI,4,1,0.74967177242888,16490.0,7444.0,15714.0,45774.0,0.662665066
3565,240392,WI,4,2,0.94095092024539,30972.0,14200.0,14200.0,34238.0,0.4517045455
3566,240417,WI,4,1,0.91390593047034,20256.0,9553.0,17820.0,56554.0,0.8520114943
3567,240426,WI,4,1,0.76232686980609,18758.0,8155.0,15728.0,45677.0,0.6884984026
3568,240444,WI,4,1,0.60354028374332,26993.0,10720.0,38608.0,70586.0,0.8777717685
3569,240453,WI,4,1,0.88958375361441,20966.0,9610.0,21475.0,53169.0,0.7699786117
3570,240462,WI,4,1,0.87567882079131,18859.0,7844.0,16483.0,55720.0,0.8886872353
3571,240471,WI,4,1,0.86244596999745,18190.0,8088.0,15661.0,50940.0,0.833836858
3572,240480,WI,4,1,0.9016049382716,18966.0,8331.0,17035.0,48872.0,0.8231733679
3582,240727,WY,4,1,0.96775907883082,20790.0,6277.0,20827.0,53303.0,0.8701077708
